OBJECTID,GlobalID,last_edited_date,id,short_name,long_name,direction,rte_type,rte_color,agency_id,agency_nam,gen_date,end_date
5494,{C6CF81FF-9030-4F59-ACFC-B1D58CBCE4D4},2023/03/28 18:27:07+00,,110,Peachtree Road / Buckhead,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5495,{C7B2BD44-9757-481F-82CA-02CD93142253},2023/03/28 18:27:07+00,,39,Buford Highway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5496,{C9D6A3BF-103F-4701-8AC0-9B012A5C5FA7},2023/03/28 18:27:07+00,,BLUE,Cumberland Transfer CTC/Battery,,bus,,COBBLINC,CobbLinc,,
5497,{CA6A7941-0315-488C-B9E9-1ADC0238F5F5},2023/03/28 18:27:07+00,,19,Clairmont Road / Howard Avenue,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5498,{CC91C282-A6B2-44F8-B313-C12405F85075},2023/03/28 18:29:32+00,,400,Cumming - Downtown,,bus,,SRTA,SRTA,,
5499,{CCF3127E-8FD6-4713-BFF1-546B179A9BA4},2023/03/28 18:27:07+00,,115,Covington Highway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5500,{CE60447A-E192-4EA2-A595-2EDC85E0100D},2023/03/28 18:27:07+00,,78,Cleveland Avenue,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5501,{CE751A98-52D9-4558-AE51-DB9C2258341A},2023/03/28 18:27:07+00,,30,Lavista Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5502,{CF0329CA-3128-48E7-9E87-073BA1CDD80A},2023/03/28 18:27:07+00,,155,Pittsburgh,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5503,{CFE8F793-E385-44F9-8104-374FBB8B3649},2023/03/28 18:27:07+00,,94,Northside Drive,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5504,{D060E3E6-5F82-45AD-8749-0235CB339DB4},2023/03/28 18:29:32+00,,480,Acworth/Town Center - Downtown,,bus,,SRTA,SRTA,,
5505,{D0D08DE7-8A89-41A0-91CF-DA3DA233507F},2023/03/28 18:27:07+00,,162,Myrtle Drive / Alison Court,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5506,{D0DA2FC6-398C-41E3-B1DA-2EC85D40959E},2023/03/28 18:29:32+00,,442,Riverdale - Downtown,,bus,,SRTA,SRTA,,
5507,{D14B267A-1D92-40C3-914B-F7CE6D808187},2023/03/28 18:29:32+00,,410,Sugarloaf Mills - Lindbergh Cent,,bus,,SRTA,SRTA,,
5508,{D30CA021-76E7-48FE-ADFD-EE660ADA4D43},2023/03/28 18:27:07+00,,850,Carroll Heights / Fairburn Heights,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5509,{DB2679ED-C28A-40B8-B2A5-A2F3760F9A29},2023/03/28 18:27:07+00,,3,Martin Luther King Jr Dr/Auburn Ave,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5510,{DC615898-CA7F-4F17-A027-44755B185C43},2023/03/28 18:27:07+00,,15,CTC - MTC via Windy Hill,,bus,,COBBLINC,CobbLinc,,
5511,{DD21E853-93A0-4E10-9EC5-6B6A0180898C},2023/03/28 18:27:07+00,,Gold,Gold,,"subway, metro",,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5512,{DD9AE7AA-C597-4A9C-B5D2-23E1E8F64746},2023/03/28 18:27:07+00,,RAPID,Arts Station/KSU-Kennesaw Rapid,,bus,,COBBLINC,CobbLinc,,
5513,{DE1CB122-3A0C-4A22-A23B-8D978878659B},2023/03/28 18:27:07+00,,5,Piedmont Road / Sandy Springs,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5514,{E00D18F1-1393-47D2-9B6D-342E18C525E9},2023/03/28 18:27:07+00,,119,Hairston Road / Stone Mtn Village,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5515,{E0351E6C-5B06-41A1-A355-C4654734842A},2023/03/28 18:27:07+00,,25,Peachtree Boulevard,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
